Kabupaten Kota,,,
,2018,2019,2020
Sumatera Utara,0.41,0.31,0.39
Nias,0.55,0.59,0.32
Mandailing Natal,0.33,0.17,0.19
Tapanuli Selatan,0.32,0.18,0.16
Tapanuli Tengah,0.4,0.41,0.44
Tapanuli Utara,0.16,0.47,0.21
Toba Samosir,0.31,0.26,0.18
Labuhan Batu,0.2,0.15,0.18
Asahan,0.33,0.21,0.33
Simalungun,0.41,0.18,0.35
Dairi,0.54,0.22,0.2
Karo,0.22,0.14,0.38
Deli Serdang,0.14,0.11,0.16
Langkat,0.41,0.14,0.33
Nias Selatan,0.66,0.5,0.76
Humbang Hasundutan,0.22,0.21,0.3
Pakpak Bharat,0.42,0.12,0.38
Samosir,0.35,0.34,0.46
Serdang Bedagai,0.22,0.31,0.2
Batu Bara,0.57,0.34,0.37
Padang Lawas Utara,0.32,0.26,0.22
Padang Lawas,0.23,0.47,0.29
Labuhanbatu Selatan,0.32,0.23,0.2
Labuanbatu Utara,0.4,0.38,0.6
Nias Utara,1.4,1.14,0.97
Nias Barat,0.97,0.71,0.61
Sibolga,0.56,0.21,0.26
Tanjungbalai,0.49,0.28,0.32
Pematangsiantar,0.53,0.1,0.26
Tebing Tinggi,0.51,0.31,0.56
Medan,0.39,0.25,0.23
Binjai,0.18,0.02,0.11
Padangsidimpuan,0.37,0.09,0.32
Gunungsitoli,0.5,0.54,0.3
